Market,Date,Home,Away,Competition,Prediction,Bet365,BF,Volume,RPD,Goals,HG,AG,Result,Stake,Return,Profit,SM_Odds
3.5G,2025-05-17,St Gallen,SC Zurich,Swiss Super League,0,1.66,1.74,66.0,4.706,5.0,3.0,2.0,0.0,,,,
3.5G,2025-05-17,Winterthur,Yverdon Sport FC,Swiss Super League,0,1.44,1.49,99.0,3.413,4.0,2.0,2.0,0.0,1,0,-1,
3.5G,2025-05-17,Standard Liege,FCV Dender EH,Belgian First Division A,0,1.44,1.49,124.0,3.413,0.0,0.0,0.0,1.0,1,1.4851,0.4851,
3.5G,2025-05-17,Braga,Benfica,Portuguese Primeira Liga,1,2.34,2.34,680.0,1.0,2.0,1.0,1.0,0.0,,,,
3.5G,2025-05-17,Estoril,Estrela Amadora,Portuguese Primeira Liga,0,1.28,1.34,14.0,4.58,4.0,4.0,0.0,0.0,,,,
3.5G,2025-05-17,FC Arouca,Boavista,Portuguese Primeira Liga,0,1.36,1.43,266.0,5.018,5.0,4.0,1.0,0.0,,,,
3.5G,2025-05-17,FC Porto,Nacional,Portuguese Primeira Liga,1,2.32,2.32,576.0,1.0,3.0,3.0,0.0,0.0,,,,
3.5G,2025-05-17,SC Farense,Santa Clara,Portuguese Primeira Liga,0,1.18,1.2,45.0,1.681,3.0,1.0,2.0,1.0,,,,
3.5G,2025-05-17,Sporting,Guimaraes,Portuguese Primeira Liga,0,1.57,1.66,652.0,5.573,2.0,2.0,0.0,1.0,,,,
3.5G,2025-05-17,AVS,Moreirense,Portuguese Primeira Liga,0,1.22,1.27,309.0,4.016,3.0,0.0,3.0,1.0,,,,
3.5G,2025-05-17,FC Sion,Grasshoppers,Swiss Super League,0,1.33,1.37,145.0,2.963,3.0,2.0,1.0,1.0,,,,
3.5G,2025-05-17,Genoa,Atalanta,Italian Serie A,0,1.44,1.48,1780.0,2.74,5.0,2.0,3.0,0.0,,,,
3.5G,2025-05-17,Antwerp,Union Saint Gilloise,Belgian First Division A,0,1.28,1.34,481.0,4.58,4.0,0.0,4.0,0.0,,,,
3.5G,2025-05-17,Strasbourg,Le Havre,French Ligue 1,0,1.66,1.75,1141.0,5.279,4.0,2.0,3.0,0.0,,,,
3.5G,2025-05-17,PSG,Auxerre,French Ligue 1,1,1.61,1.69,3813.0,4.848,4.0,0.0,0.0,1.0,,,,
3.5G,2025-05-17,St Etienne,Toulouse,French Ligue 1,0,1.61,1.69,164.0,4.848,5.0,2.0,3.0,0.0,,,,
3.5G,2025-05-17,Lens,Monaco,French Ligue 1,0,1.61,1.7,153.0,5.438,4.0,4.0,0.0,0.0,,,,
3.5G,2025-05-17,Lille,Reims,French Ligue 1,0,1.44,1.49,2088.0,3.413,3.0,2.0,1.0,1.0,,,,
3.5G,2025-05-17,Lyon,Angers,French Ligue 1,1,1.9,1.9,2032.0,1.0,2.0,2.0,0.0,0.0,,,,
3.5G,2025-05-17,Marseille,Rennes,French Ligue 1,0,1.72,1.79,1511.0,3.989,6.0,4.0,2.0,0.0,,,,
3.5G,2025-05-17,Nantes,Montpellier,French Ligue 1,0,1.33,1.39,399.0,4.412,3.0,3.0,0.0,1.0,,,,
