event_id,home_team,away_team,competition,match_time,bookmaker,yes_odds,no_odds,odds_time
61300739,Burnley FC,Chelsea FC,England - Premier League,2025-11-22 20:30:00+08:00,Bet365,1.950,1.800,2025-11-11 21:55:56
61300739,Burnley FC,Chelsea FC,England - Premier League,2025-11-22 20:30:00+08:00,Betfair Exchange,1.01,1.01,2025-11-11 21:55:56
61300741,Fulham FC,Sunderland AFC,England - Premier League,2025-11-22 23:00:00+08:00,Bet365,1.909,1.909,2025-11-11 21:55:56
61300741,Fulham FC,Sunderland AFC,England - Premier League,2025-11-22 23:00:00+08:00,Betfair Exchange,1.77,1.76,2025-11-11 21:55:56
61300751,Wolverhampton Wanderers,Crystal Palace,England - Premier League,2025-11-22 23:00:00+08:00,Bet365,1.909,1.909,2025-11-11 21:55:56
61300751,Wolverhampton Wanderers,Crystal Palace,England - Premier League,2025-11-22 23:00:00+08:00,Betfair Exchange,1.01,1.01,2025-11-11 21:55:56
61300745,Liverpool FC,Nottingham Forest,England - Premier League,2025-11-22 23:00:00+08:00,Bet365,1.700,2.050,2025-11-11 21:55:56
61300745,Liverpool FC,Nottingham Forest,England - Premier League,2025-11-22 23:00:00+08:00,Betfair Exchange,1.65,1.90,2025-11-11 21:55:56
61300737,Brighton & Hove Albion,Brentford FC,England - Premier League,2025-11-22 23:00:00+08:00,Bet365,1.615,2.200,2025-11-11 21:55:56
61300737,Brighton & Hove Albion,Brentford FC,England - Premier League,2025-11-22 23:00:00+08:00,Betfair Exchange,1.01,1.01,2025-11-11 21:55:56
61300733,AFC Bournemouth,West Ham United,England - Premier League,2025-11-22 23:00:00+08:00,Bet365,1.750,2.000,2025-11-11 21:55:56
61300733,AFC Bournemouth,West Ham United,England - Premier League,2025-11-22 23:00:00+08:00,Betfair Exchange,1.01,1.01,2025-11-11 21:55:56
61300749,Newcastle United,Manchester City,England - Premier League,2025-11-23 01:30:00+08:00,Bet365,1.615,2.200,2025-11-11 21:55:56
61300749,Newcastle United,Manchester City,England - Premier League,2025-11-23 01:30:00+08:00,Betfair Exchange,1.62,2.14,2025-11-11 21:55:56
61300743,Leeds United,Aston Villa,England - Premier League,2025-11-23 22:00:00+08:00,Bet365,1.800,1.950,2025-11-11 21:55:56
61300743,Leeds United,Aston Villa,England - Premier League,2025-11-23 22:00:00+08:00,Betfair Exchange,1.01,1.01,2025-11-11 21:55:56
61300735,Arsenal FC,Tottenham Hotspur,England - Premier League,2025-11-24 00:30:00+08:00,Bet365,2.000,1.750,2025-11-11 21:55:56
61300735,Arsenal FC,Tottenham Hotspur,England - Premier League,2025-11-24 00:30:00+08:00,Betfair Exchange,1.83,1.71,2025-11-11 21:55:56
63887879,Manchester United,Everton FC,England - Premier League,2025-11-25 04:00:00+08:00,Bet365,1.700,2.050,2025-11-11 21:55:56
63887879,Manchester United,Everton FC,England - Premier League,2025-11-25 04:00:00+08:00,Betfair Exchange,1.64,1.92,2025-11-11 21:55:56
61300769,Sunderland AFC,AFC Bournemouth,England - Premier League,2025-11-29 23:00:00+08:00,Bet365,1.700,2.050,2025-11-11 21:55:56
61300755,Brentford FC,Burnley FC,England - Premier League,2025-11-29 23:00:00+08:00,Bet365,1.909,1.909,2025-11-11 21:55:56
61300765,Manchester City,Leeds United,England - Premier League,2025-11-29 23:00:00+08:00,Bet365,2.200,1.615,2025-11-11 21:55:56
61300763,Everton FC,Newcastle United,England - Premier League,2025-11-30 01:30:00+08:00,Bet365,1.800,1.950,2025-11-11 21:55:56
61300771,Tottenham Hotspur,Fulham FC,England - Premier League,2025-11-30 04:00:00+08:00,Bet365,1.700,2.050,2025-11-11 21:55:56
61300759,Crystal Palace,Manchester United,England - Premier League,2025-11-30 20:00:00+08:00,Bet365,1.615,2.200,2025-11-11 21:55:56
61300767,Nottingham Forest,Brighton & Hove Albion,England - Premier League,2025-11-30 22:05:00+08:00,Bet365,1.666,2.100,2025-11-11 21:55:56
61300753,Aston Villa,Wolverhampton Wanderers,England - Premier League,2025-11-30 22:05:00+08:00,Bet365,1.950,1.800,2025-11-11 21:55:56
61300773,West Ham United,Liverpool FC,England - Premier League,2025-11-30 22:05:00+08:00,Bet365,1.571,2.250,2025-11-11 21:55:56
61300757,Chelsea FC,Arsenal FC,England - Premier League,2025-12-01 00:30:00+08:00,Bet365,1.700,2.050,2025-11-11 21:55:56
