event_id,home_team,away_team,competition,match_time,odds_time,Bet365_no_odds,Bet365_yes_odds,Betfair_Exchange_no_odds,Betfair_Exchange_yes_odds,Yes RPD,No RPD,hours_until_KO
61300797,Aston Villa,Arsenal FC,England - Premier League,2025-12-06 20:30:00+08:00,2025-12-05 23:13:37.972353+08:00,1.909,1.909,2.00,1.95,2.125,4.656,21.2727854575
61300795,AFC Bournemouth,Chelsea FC,England - Premier League,2025-12-06 23:00:00+08:00,2025-12-05 23:13:37.972353+08:00,2.375,1.533,2.56,1.60,4.277,7.497,23.7727854575
61300801,Everton FC,Nottingham Forest,England - Premier League,2025-12-06 23:00:00+08:00,2025-12-05 23:13:37.972353+08:00,1.909,1.909,1.99,1.95,2.125,4.155,23.7727854575
61300809,Newcastle United,Burnley FC,England - Premier League,2025-12-06 23:00:00+08:00,2025-12-05 23:13:37.972353+08:00,1.750,2.000,1.84,2.12,5.825,5.014,23.7727854575
61300807,Manchester City,Sunderland AFC,England - Premier League,2025-12-06 23:00:00+08:00,2025-12-05 23:13:37.972353+08:00,1.800,1.950,1.87,2.08,6.452,3.815,23.7727854575
61300811,Tottenham Hotspur,Brentford FC,England - Premier League,2025-12-06 23:00:00+08:00,2025-12-05 23:13:37.972353+08:00,2.100,1.666,2.32,1.71,2.607,9.955,23.7727854575
61300805,Leeds United,Liverpool FC,England - Premier League,2025-12-07 01:30:00+08:00,2025-12-05 23:13:37.972353+08:00,2.200,1.615,2.44,1.66,2.748,10.345,26.2727854575
61300799,Brighton & Hove Albion,West Ham United,England - Premier League,2025-12-07 22:00:00+08:00,2025-12-05 23:13:37.972353+08:00,2.050,1.700,2.26,1.76,3.468,9.745,46.7727854575
61300803,Fulham FC,Crystal Palace,England - Premier League,2025-12-08 00:30:00+08:00,2025-12-05 23:13:37.972353+08:00,1.950,1.800,2.08,1.87,3.815,6.452,49.2727854575
64618978,Wolverhampton Wanderers,Manchester United,England - Premier League,2025-12-09 04:00:00+08:00,2025-12-05 23:13:37.972353+08:00,2.100,1.666,2.26,1.73,3.769,7.339,76.77278545749999
61300825,Liverpool FC,Brighton & Hove Albion,England - Premier League,2025-12-13 23:00:00+08:00,2025-12-05 23:13:37.972353+08:00,2.250,1.571,2.38,1.60,1.829,5.616,191.77278545750002
61300821,Chelsea FC,Everton FC,England - Premier League,2025-12-13 23:00:00+08:00,2025-12-05 23:13:37.972353+08:00,1.909,1.909,1.94,1.87,1.0,1.611,191.77278545750002
61300819,Burnley FC,Fulham FC,England - Premier League,2025-12-14 01:30:00+08:00,2025-12-05 23:13:37.972353+08:00,1.909,1.909,1.01,1.01,1.0,1.0,194.27278545750002
61300815,Arsenal FC,Wolverhampton Wanderers,England - Premier League,2025-12-14 04:00:00+08:00,2025-12-05 23:13:37.972353+08:00,1.571,2.250,1.60,2.34,3.922,1.829,196.77278545750002
61300829,Nottingham Forest,Tottenham Hotspur,England - Premier League,2025-12-14 22:00:00+08:00,2025-12-05 23:13:37.972353+08:00,2.050,1.700,2.20,1.71,1.0,7.059,214.77278545750002
61300823,Crystal Palace,Manchester City,England - Premier League,2025-12-14 22:00:00+08:00,2025-12-05 23:13:37.972353+08:00,2.200,1.615,1.01,1.01,1.0,1.0,214.77278545750002
61300833,West Ham United,Aston Villa,England - Premier League,2025-12-14 22:00:00+08:00,2025-12-05 23:13:37.972353+08:00,2.100,1.666,2.20,1.70,2.02,4.651,214.77278545750002
61300831,Sunderland AFC,Newcastle United,England - Premier League,2025-12-14 22:00:00+08:00,2025-12-05 23:13:37.972353+08:00,2.000,1.750,2.04,1.77,1.136,1.98,214.77278545750002
61300817,Brentford FC,Leeds United,England - Premier League,2025-12-15 00:30:00+08:00,2025-12-05 23:13:37.972353+08:00,2.000,1.750,2.04,1.77,1.136,1.98,217.27278545750002
65586346,Manchester United,AFC Bournemouth,England - Premier League,2025-12-16 04:00:00+08:00,2025-12-05 23:13:37.972353+08:00,2.375,1.533,2.20,1.49,1.0,1.0,244.77278545750002
