event_id,home_team,away_team,competition,match_time,odds_time,Bet365_over_odds,Bet365_under_odds,Betfair_Exchange_over_odds,Betfair_Exchange_under_odds,Over RPD,Under RPD,hours_until_KO
61300797,Aston Villa,Arsenal FC,England - Premier League,2025-12-06 20:30:00+08:00,2025-12-05 23:13:37.972353+08:00,1.333,3.400,1.39,3.45,4.187,1.46,21.2727854575
61300795,AFC Bournemouth,Chelsea FC,England - Premier League,2025-12-06 23:00:00+08:00,2025-12-05 23:13:37.972353+08:00,1.200,4.500,1.22,5.20,1.653,14.433,23.7727854575
61300801,Everton FC,Nottingham Forest,England - Premier League,2025-12-06 23:00:00+08:00,2025-12-05 23:13:37.972353+08:00,1.363,3.200,1.41,3.30,3.39,3.077,23.7727854575
61300809,Newcastle United,Burnley FC,England - Premier League,2025-12-06 23:00:00+08:00,2025-12-05 23:13:37.972353+08:00,1.200,4.500,1.20,5.60,1.0,21.782,23.7727854575
61300807,Manchester City,Sunderland AFC,England - Premier League,2025-12-06 23:00:00+08:00,2025-12-05 23:13:37.972353+08:00,1.166,5.000,1.18,6.00,1.194,18.182,23.7727854575
61300811,Tottenham Hotspur,Brentford FC,England - Premier League,2025-12-06 23:00:00+08:00,2025-12-05 23:13:37.972353+08:00,1.250,4.000,1.29,4.20,3.15,4.878,23.7727854575
61300805,Leeds United,Liverpool FC,England - Premier League,2025-12-07 01:30:00+08:00,2025-12-05 23:13:37.972353+08:00,1.200,4.500,1.23,5.00,2.469,10.526,26.2727854575
61300799,Brighton & Hove Albion,West Ham United,England - Premier League,2025-12-07 22:00:00+08:00,2025-12-05 23:13:37.972353+08:00,1.200,4.500,1.21,5.30,1.0,16.327,46.7727854575
61300803,Fulham FC,Crystal Palace,England - Premier League,2025-12-08 00:30:00+08:00,2025-12-05 23:13:37.972353+08:00,1.333,3.400,1.38,3.45,3.465,1.46,49.2727854575
64618978,Wolverhampton Wanderers,Manchester United,England - Premier League,2025-12-09 04:00:00+08:00,2025-12-05 23:13:37.972353+08:00,1.222,4.333,1.25,4.57,2.265,5.324,76.77278545749999
61300825,Liverpool FC,Brighton & Hove Albion,England - Premier League,2025-12-13 23:00:00+08:00,2025-12-05 23:13:37.972353+08:00,1.166,5.000,1.16,3.49,1.0,1.0,191.77278545750002
61300821,Chelsea FC,Everton FC,England - Premier League,2025-12-13 23:00:00+08:00,2025-12-05 23:13:37.972353+08:00,1.285,3.750,1.24,3.01,1.0,1.0,191.77278545750002
61300819,Burnley FC,Fulham FC,England - Premier League,2025-12-14 01:30:00+08:00,2025-12-05 23:13:37.972353+08:00,1.333,3.400,1.09,1.69,1.0,1.0,194.27278545750002
61300815,Arsenal FC,Wolverhampton Wanderers,England - Premier League,2025-12-14 04:00:00+08:00,2025-12-05 23:13:37.972353+08:00,1.200,4.500,1.20,3.49,1.0,1.0,196.77278545750002
61300829,Nottingham Forest,Tottenham Hotspur,England - Premier League,2025-12-14 22:00:00+08:00,2025-12-05 23:13:37.972353+08:00,1.285,3.750,1.25,2.76,1.0,1.0,214.77278545750002
61300823,Crystal Palace,Manchester City,England - Premier League,2025-12-14 22:00:00+08:00,2025-12-05 23:13:37.972353+08:00,1.222,4.333,1.05,1.26,1.0,1.0,214.77278545750002
61300833,West Ham United,Aston Villa,England - Premier League,2025-12-14 22:00:00+08:00,2025-12-05 23:13:37.972353+08:00,1.250,4.000,1.22,2.98,1.0,1.0,214.77278545750002
61300831,Sunderland AFC,Newcastle United,England - Premier League,2025-12-14 22:00:00+08:00,2025-12-05 23:13:37.972353+08:00,1.300,3.500,1.27,2.90,1.0,1.0,214.77278545750002
61300817,Brentford FC,Leeds United,England - Premier League,2025-12-15 00:30:00+08:00,2025-12-05 23:13:37.972353+08:00,1.285,3.750,1.26,2.66,1.0,1.0,217.27278545750002
65586346,Manchester United,AFC Bournemouth,England - Premier League,2025-12-16 04:00:00+08:00,2025-12-05 23:13:37.972353+08:00,1.166,5.000,1.16,3.49,1.0,1.0,244.77278545750002
