home_team,away_team,competition,match_time,odds_time,Bet365_over_odds_2.5,Bet365_under_odds_2.5,Betfair_Exchange_over_odds_2.5,Betfair_Exchange_under_odds_2.5,Over RPD,Under RPD,hours_until_KO
AFC Bournemouth,Everton FC,England - Premier League,2025-12-03T03:30:00+08:00,2025-12-02T21:15:48.639437+08:00,1.909,1.909,1.99,2.0,4.155,4.656,6.236489045277778
Fulham FC,Manchester City,England - Premier League,2025-12-03T03:30:00+08:00,2025-12-02T21:15:48.639437+08:00,1.615,2.3,1.73,2.35,6.876,2.151,6.236489045277778
Newcastle United,Tottenham Hotspur,England - Premier League,2025-12-03T04:15:00+08:00,2025-12-02T21:15:48.639437+08:00,1.727,2.1,1.8,2.21,4.139,5.104,6.986489045277778
Arsenal FC,Brentford FC,England - Premier League,2025-12-04T03:30:00+08:00,2025-12-02T21:19:21.636204+08:00,1.727,2.1,1.81,2.16,4.693,2.817,30.17732327666667
Burnley FC,Crystal Palace,England - Premier League,2025-12-04T03:30:00+08:00,2025-12-02T21:19:21.636204+08:00,2.0,1.8,2.08,1.91,3.922,5.93,30.17732327666667
Brighton & Hove Albion,Aston Villa,England - Premier League,2025-12-04T03:30:00+08:00,2025-12-02T21:19:21.636204+08:00,1.909,1.909,1.93,2.05,1.094,7.123,30.17732327666667
Wolverhampton Wanderers,Nottingham Forest,England - Premier League,2025-12-04T03:30:00+08:00,2025-12-02T21:19:21.636204+08:00,2.1,1.727,2.19,1.82,4.196,5.244,30.17732327666667
Leeds United,Chelsea FC,England - Premier League,2025-12-04T04:15:00+08:00,2025-12-02T21:19:21.636204+08:00,1.8,2.0,1.88,2.11,4.348,5.353,30.92732327666667
Liverpool FC,Sunderland AFC,England - Premier League,2025-12-04T04:15:00+08:00,2025-12-02T21:19:21.636204+08:00,1.571,2.375,1.61,2.56,2.452,7.497,30.92732327666667
Manchester United,West Ham United,England - Premier League,2025-12-05T04:00:00+08:00,2025-12-02T21:19:21.636204+08:00,1.533,2.5,1.57,2.66,2.385,6.202,54.67732327666666
Aston Villa,Arsenal FC,England - Premier League,2025-12-06T20:30:00+08:00,2025-12-02T21:19:21.636204+08:00,2.1,1.727,2.04,1.84,1.0,6.336,95.17732327666667
AFC Bournemouth,Chelsea FC,England - Premier League,2025-12-06T23:00:00+08:00,2025-12-02T21:19:21.636204+08:00,1.666,2.2,1.63,2.29,1.0,4.009,97.67732327666667
Everton FC,Nottingham Forest,England - Premier League,2025-12-06T23:00:00+08:00,2025-12-02T21:19:21.636204+08:00,2.1,1.727,2.12,1.73,1.0,1.0,97.67732327666667
Tottenham Hotspur,Brentford FC,England - Premier League,2025-12-06T23:00:00+08:00,2025-12-02T21:19:21.636204+08:00,1.8,2.0,1.75,2.19,1.0,9.069,97.67732327666667
Newcastle United,Burnley FC,England - Premier League,2025-12-06T23:00:00+08:00,2025-12-02T21:19:21.636204+08:00,1.571,2.375,1.6,2.16,1.829,1.0,97.67732327666667
Manchester City,Sunderland AFC,England - Premier League,2025-12-06T23:00:00+08:00,2025-12-02T21:19:21.636204+08:00,1.533,2.5,1.53,2.6,1.0,3.922,97.67732327666667
Leeds United,Liverpool FC,England - Premier League,2025-12-07T01:30:00+08:00,2025-12-02T21:19:21.636204+08:00,1.666,2.2,1.61,2.32,1.0,5.31,100.17732327666667
Brighton & Hove Albion,West Ham United,England - Premier League,2025-12-07T22:00:00+08:00,2025-12-02T21:19:21.636204+08:00,1.615,2.3,1.65,2.28,2.144,1.0,120.67732327666667
Fulham FC,Crystal Palace,England - Premier League,2025-12-08T00:30:00+08:00,2025-12-02T21:19:21.636204+08:00,2.0,1.8,2.13,1.78,6.295,1.0,123.17732327666667
Wolverhampton Wanderers,Manchester United,England - Premier League,2025-12-09T04:00:00+08:00,2025-12-02T21:19:21.636204+08:00,1.666,2.2,1.59,2.16,1.0,1.0,150.67732327666667
