event_id,home_team,away_team,competition,match_time,odds_time,Bet365_over_odds_3.5,Bet365_under_odds_3.5,Betfair_Exchange_over_odds_3.5,Betfair_Exchange_under_odds_3.5,Over RPD,Under RPD
61300733,AFC Bournemouth,West Ham United,England - Premier League,2025-11-22 23:00:00+08:00,2025-11-11 21:55:56,2.75,1.444,1.75,,1.0,
61300735,Arsenal FC,Tottenham Hotspur,England - Premier League,2025-11-24 00:30:00+08:00,2025-11-11 21:55:56,2.75,1.444,2.52,1.38,1.0,1.0
61300737,Brighton & Hove Albion,Brentford FC,England - Premier League,2025-11-22 23:00:00+08:00,2025-11-11 21:55:56,2.75,1.444,1.7,,1.0,
61300739,Burnley FC,Chelsea FC,England - Premier League,2025-11-22 20:30:00+08:00,2025-11-11 21:55:56,3.2,1.363,1.08,,1.0,
61300741,Fulham FC,Sunderland AFC,England - Premier League,2025-11-22 23:00:00+08:00,2025-11-11 21:55:56,3.75,1.285,3.71,1.21,1.0,1.0
61300743,Leeds United,Aston Villa,England - Premier League,2025-11-23 22:00:00+08:00,2025-11-11 21:55:56,3.75,1.285,1.09,,1.0,
61300745,Liverpool FC,Nottingham Forest,England - Premier League,2025-11-22 23:00:00+08:00,2025-11-11 21:55:56,2.375,1.571,2.02,1.47,1.0,1.0
61300749,Newcastle United,Manchester City,England - Premier League,2025-11-23 01:30:00+08:00,2025-11-11 21:55:56,2.625,1.5,2.18,1.41,1.0,1.0
61300751,Wolverhampton Wanderers,Crystal Palace,England - Premier League,2025-11-22 23:00:00+08:00,2025-11-11 21:55:56,3.5,1.3,1.07,,1.0,
63887879,Manchester United,Everton FC,England - Premier League,2025-11-25 04:00:00+08:00,2025-11-11 21:55:56,2.75,1.444,2.35,1.36,1.0,1.0
