window,train_end,test_start,test_end,config,test_bets,test_profit,test_roi,train_bets,train_profit,train_roi,vol_min,vol_max,bf_min,bf_tier1,bf_tier2,rpd_low,rpd_mid,rpd_high,btts_fade_rpd,g15_fade_rpd,double_stake_rpd,double_stake_min_count
1,2025-12-15,2025-12-16,2026-01-14,baseline,51,-16.72,-29.85,,,,40.0,700.0,1.3,1.8,2.5,1.0,2.0,3.5,5.0,4.6,1.0,2
1,2025-12-15,2025-12-16,2026-01-14,rank_1,157,10.54,6.71,866,136.27,15.74,0.0,1425.0,1.1,2.0,2.7,0.6,1.2,7.9,7.3,3.0,1.1,3
1,2025-12-15,2025-12-16,2026-01-14,rank_2,166,6.1,3.68,905,136.06,15.03,0.0,1450.0,1.05,2.0,2.65,0.8,3.9000000000000004,6.7,7.7,3.0,1.2000000000000002,3
1,2025-12-15,2025-12-16,2026-01-14,rank_3,160,9.56,5.97,887,136.03,15.34,0.0,1500.0,1.05,2.0,2.65,0.7,2.4000000000000004,6.1000000000000005,7.800000000000001,3.0,1.3,3
1,2025-12-15,2025-12-16,2026-01-14,rank_4,161,8.56,5.31,888,135.03,15.21,0.0,1500.0,1.05,2.0,2.65,0.7,2.5,6.6000000000000005,7.800000000000001,3.0,1.3,3
1,2025-12-15,2025-12-16,2026-01-14,rank_5,164,5.56,3.39,893,134.24,15.03,0.0,1475.0,1.1,2.0,2.7,0.6,3.1,6.800000000000001,7.5,3.0,1.2000000000000002,3
2,2026-01-14,2026-01-15,2026-02-13,baseline,92,-16.89,-16.72,,,,40.0,700.0,1.3,1.8,2.5,1.0,2.0,3.5,5.0,4.6,1.0,2
2,2026-01-14,2026-01-15,2026-02-13,rank_1,264,-30.51,-11.56,935,136.05,14.55,0.0,1450.0,1.35,1.9,2.6,0.7,1.0,5.4,6.2,3.2,0.7,2
2,2026-01-14,2026-01-15,2026-02-13,rank_2,263,-29.51,-11.22,936,135.05,14.43,0.0,1450.0,1.3,1.85,2.6,0.7,1.0,5.4,6.6,3.2,0.6,2
2,2026-01-14,2026-01-15,2026-02-13,rank_3,266,-32.51,-12.22,938,135.0,14.39,0.0,1450.0,1.35,1.9,2.65,0.8,1.1,5.300000000000001,6.300000000000001,3.2,0.8,2
2,2026-01-14,2026-01-15,2026-02-13,rank_4,260,-24.13,-9.28,922,134.69,14.61,0.0,1375.0,1.3,2.05,2.6,0.6,1.4,6.1000000000000005,6.9,3.2,0.9,2
2,2026-01-14,2026-01-15,2026-02-13,rank_5,266,-32.51,-12.22,939,134.0,14.27,0.0,1450.0,1.35,1.9,2.6,0.6,1.3,5.5,6.2,3.2,0.7,2
3,2026-02-13,2026-02-14,2026-03-15,baseline,87,-40.1,-42.66,,,,40.0,700.0,1.3,1.8,2.5,1.0,2.0,3.5,5.0,4.6,1.0,2
3,2026-02-13,2026-02-14,2026-03-15,rank_1,212,-21.48,-10.13,939,138.19,14.72,5.0,1750.0,1.05,2.2,2.5,0.5,1.8,5.5,6.5,3.7,1.8,3
3,2026-02-13,2026-02-14,2026-03-15,rank_2,219,-21.93,-10.02,988,137.29,13.9,0.0,1750.0,1.1,2.2,2.45,0.5,1.4,5.6,6.6,3.7,1.9000000000000001,3
3,2026-02-13,2026-02-14,2026-03-15,rank_3,219,-21.93,-10.02,988,137.29,13.9,0.0,1750.0,1.1,2.2,2.45,0.5,1.5,5.9,6.6,3.7,1.9000000000000001,3
3,2026-02-13,2026-02-14,2026-03-15,rank_4,214,-17.51,-8.18,928,137.24,14.79,5.0,1775.0,1.0,2.2,2.6,0.7,2.8,5.9,6.6,3.7,2.0,3
3,2026-02-13,2026-02-14,2026-03-15,rank_5,218,-20.93,-9.6,985,137.21,13.93,0.0,1725.0,1.1,2.2,2.45,0.5,1.4,5.9,6.5,3.7,1.9000000000000001,3
4,2026-03-15,2026-03-16,2026-04-14,baseline,41,-26.41,-48.9,,,,40.0,700.0,1.3,1.8,2.5,1.0,2.0,3.5,5.0,4.6,1.0,2
4,2026-03-15,2026-03-16,2026-04-14,rank_1,61,-0.67,-1.1,836,121.33,14.51,0.0,1975.0,1.05,2.2,2.45,0.5,1.9,6.5,7.6000000000000005,4.3,1.8,2
4,2026-03-15,2026-03-16,2026-04-14,rank_2,42,5.93,14.11,677,117.63,17.38,0.0,1975.0,1.05,2.2,2.65,0.7,1.7000000000000002,6.6000000000000005,7.5,6.0,1.8,2
4,2026-03-15,2026-03-16,2026-04-14,rank_3,42,5.93,14.11,677,117.63,17.38,0.0,1975.0,1.05,2.2,2.65,0.7,1.7000000000000002,6.6000000000000005,7.5,6.0,1.7000000000000002,2
4,2026-03-15,2026-03-16,2026-04-14,rank_4,38,2.87,7.54,668,117.5,17.59,0.0,1900.0,1.0,2.2,2.65,0.7,1.5,6.800000000000001,7.6000000000000005,5.7,1.7000000000000002,2
4,2026-03-15,2026-03-16,2026-04-14,rank_5,46,4.32,9.39,706,116.94,16.56,0.0,2000.0,1.15,2.2,2.5,0.5,2.2,6.4,7.5,6.0,1.9000000000000001,2
