window,train_end,test_start,test_end,config,test_bets,test_profit,test_roi,train_bets,train_profit,train_roi,vol_min,vol_max,bf_min,bf_tier1,bf_tier2,rpd_low,rpd_mid,rpd_high,btts_fade_rpd,g15_fade_rpd,double_stake_rpd,double_stake_min_count
1,2025-12-15,2025-12-16,2026-01-14,baseline,51,-16.72,-29.85,,,,40.0,700.0,1.3,1.8,2.5,1.0,2.0,3.5,5.0,4.6,1.0,2
1,2025-12-15,2025-12-16,2026-01-14,rank_1,22,-0.41,-1.87,123,57.03,46.37,50.0,325.0,1.1,2.1,3.1,0.9,1.1,6.9,7.2,6.5,0.7,3
1,2025-12-15,2025-12-16,2026-01-14,rank_2,22,-0.41,-1.87,123,57.03,46.37,50.0,325.0,1.1,2.1,3.1,0.9,1.1,6.9,7.3,6.1,0.7,3
1,2025-12-15,2025-12-16,2026-01-14,rank_3,22,-0.41,-1.87,123,57.03,46.37,50.0,325.0,1.2,2.1,3.1,0.8,1.3,6.2,7.2,6.1,0.6,3
1,2025-12-15,2025-12-16,2026-01-14,rank_4,25,-0.37,-1.49,133,61.21,46.02,50.0,325.0,1.4,2.1,2.7,0.8,1.3,7.0,7.4,6.300000000000001,0.7,3
1,2025-12-15,2025-12-16,2026-01-14,rank_5,20,-1.59,-7.96,117,53.77,45.96,50.0,325.0,1.25,2.15,3.25,0.7,1.3,7.1000000000000005,7.7,6.1,0.5,3
2,2026-01-14,2026-01-15,2026-02-13,baseline,92,-16.89,-16.72,,,,40.0,700.0,1.3,1.8,2.5,1.0,2.0,3.5,5.0,4.6,1.0,2
2,2026-01-14,2026-01-15,2026-02-13,rank_1,21,-1.99,-9.45,140,52.36,37.4,50.0,325.0,1.2,2.1,3.25,0.8,1.6,5.4,7.800000000000001,4.7,1.7000000000000002,2
2,2026-01-14,2026-01-15,2026-02-13,rank_2,21,-1.99,-9.45,141,51.36,36.43,50.0,325.0,1.2,2.1,3.1500000000000004,0.9,1.7000000000000002,5.800000000000001,7.5,4.7,1.6,2
2,2026-01-14,2026-01-15,2026-02-13,rank_3,22,0.1,0.46,139,50.32,36.2,50.0,300.0,1.15,2.05,3.1,0.8,1.5,5.9,7.6000000000000005,4.6,1.7000000000000002,2
2,2026-01-14,2026-01-15,2026-02-13,rank_4,22,0.1,0.46,139,50.32,36.2,50.0,300.0,1.15,2.05,3.1,0.8,1.5,5.9,7.6000000000000005,4.6,1.7000000000000002,2
2,2026-01-14,2026-01-15,2026-02-13,rank_5,22,0.1,0.46,139,50.32,36.2,50.0,300.0,1.15,2.05,3.1,0.8,1.5,5.9,7.6000000000000005,4.6,1.7000000000000002,2
3,2026-02-13,2026-02-14,2026-03-15,baseline,87,-40.1,-42.66,,,,40.0,700.0,1.3,1.8,2.5,1.0,2.0,3.5,5.0,4.6,1.0,2
3,2026-02-13,2026-02-14,2026-03-15,rank_1,40,5.59,13.97,226,71.59,31.68,50.0,400.0,1.35,2.2,2.75,0.7,1.1,5.800000000000001,7.1000000000000005,5.300000000000001,0.8,2
3,2026-02-13,2026-02-14,2026-03-15,rank_2,44,-0.56,-1.28,241,70.96,29.44,0.0,300.0,1.35,2.2,2.9,0.5,1.1,5.300000000000001,6.6,6.9,0.9,2
3,2026-02-13,2026-02-14,2026-03-15,rank_3,44,-0.56,-1.28,253,74.09,29.28,0.0,325.0,1.35,2.2,2.85,0.5,1.1,5.2,6.7,6.6,0.9,2
3,2026-02-13,2026-02-14,2026-03-15,rank_4,46,-2.56,-5.57,251,73.27,29.19,0.0,325.0,1.35,2.2,2.95,0.5,1.1,5.2,6.5,6.9,0.9,2
3,2026-02-13,2026-02-14,2026-03-15,rank_5,43,0.44,1.02,223,64.88,29.09,5.0,300.0,1.35,2.2,2.95,0.5,1.0,5.2,6.5,7.0,0.9,2
4,2026-03-15,2026-03-16,2026-04-14,baseline,41,-26.41,-48.9,,,,40.0,700.0,1.3,1.8,2.5,1.0,2.0,3.5,5.0,4.6,1.0,2
4,2026-03-15,2026-03-16,2026-04-14,rank_1,5,-2.78,-55.7,124,51.95,41.9,200.0,450.0,1.6,2.05,3.5,0.5,1.2,7.300000000000001,7.7,7.7,0.9,4
4,2026-03-15,2026-03-16,2026-04-14,rank_2,3,-0.78,-26.16,105,43.79,41.71,200.0,400.0,1.5,2.0,3.5,0.7,1.3,6.9,7.9,6.5,0.8,4
4,2026-03-15,2026-03-16,2026-04-14,rank_3,3,-0.78,-26.16,107,44.61,41.69,195.0,400.0,1.55,2.05,3.5,0.8,1.4,7.7,8.0,7.800000000000001,0.8,4
4,2026-03-15,2026-03-16,2026-04-14,rank_4,5,-2.78,-55.7,123,51.01,41.47,200.0,450.0,1.55,2.0,3.5,0.9,1.3,7.300000000000001,8.0,7.9,1.0,4
4,2026-03-15,2026-03-16,2026-04-14,rank_5,5,-2.78,-55.7,111,45.83,41.29,195.0,450.0,1.6,2.05,3.5,0.5,1.3,4.0,7.7,6.300000000000001,0.8,3
